[infer] serving ml/experiments/v32-onpolicy-solo/shared-critic/checkpoint.pt (arc-entity-scorer-v2, obs_dim=3419, act_dim=104) on /dev/shm/arc-v34-phase2/rerank-p025/attempt-2/infer.sock device=cuda window=2.0ms max_batch=512
[infer] reqs=1972 rows=3688 batches=168 avg_batch=22.0 batch_p50=20 batch_p95=39 batch_min=1 batch_max=110 forwards/s=33.6
[infer] reqs=7013 rows=13689 batches=580 avg_batch=23.6 batch_p50=23 batch_p95=41 batch_min=1 batch_max=51 forwards/s=116.0
[infer] reqs=7092 rows=13712 batches=582 avg_batch=23.6 batch_p50=23 batch_p95=39 batch_min=2 batch_max=53 forwards/s=116.4
[infer] reqs=7331 rows=14139 batches=592 avg_batch=23.9 batch_p50=24 batch_p95=38 batch_min=6 batch_max=51 forwards/s=118.4
[infer] reqs=7513 rows=14541 batches=600 avg_batch=24.2 batch_p50=24 batch_p95=38 batch_min=7 batch_max=47 forwards/s=120.0
[infer] reqs=7754 rows=14938 batches=607 avg_batch=24.6 batch_p50=24 batch_p95=40 batch_min=4 batch_max=53 forwards/s=121.4
[infer] reqs=7477 rows=14389 batches=589 avg_batch=24.4 batch_p50=24 batch_p95=37 batch_min=5 batch_max=51 forwards/s=117.8
[infer] reqs=7779 rows=15083 batches=613 avg_batch=24.6 batch_p50=24 batch_p95=40 batch_min=5 batch_max=53 forwards/s=122.6
[infer] reqs=8209 rows=15877 batches=641 avg_batch=24.8 batch_p50=24 batch_p95=39 batch_min=5 batch_max=55 forwards/s=128.2
[infer] reqs=8256 rows=15960 batches=635 avg_batch=25.1 batch_p50=25 batch_p95=39 batch_min=7 batch_max=52 forwards/s=127.0
[infer] reqs=8005 rows=15485 batches=624 avg_batch=24.8 batch_p50=24 batch_p95=38 batch_min=7 batch_max=49 forwards/s=124.8
[infer] reqs=8362 rows=16234 batches=644 avg_batch=25.2 batch_p50=25 batch_p95=38 batch_min=6 batch_max=51 forwards/s=128.8
[infer] reqs=8185 rows=15709 batches=635 avg_batch=24.7 batch_p50=24 batch_p95=40 batch_min=5 batch_max=55 forwards/s=127.0
[infer] reqs=7482 rows=14526 batches=595 avg_batch=24.4 batch_p50=24 batch_p95=40 batch_min=6 batch_max=56 forwards/s=119.0
[infer] reqs=7673 rows=14989 batches=607 avg_batch=24.7 batch_p50=24 batch_p95=39 batch_min=6 batch_max=51 forwards/s=121.4
[infer] reqs=8461 rows=16245 batches=647 avg_batch=25.1 batch_p50=25 batch_p95=39 batch_min=5 batch_max=52 forwards/s=129.4
[infer] reqs=8479 rows=16459 batches=646 avg_batch=25.5 batch_p50=25 batch_p95=38 batch_min=8 batch_max=47 forwards/s=129.2
[infer] reqs=7899 rows=15051 batches=614 avg_batch=24.5 batch_p50=24 batch_p95=37 batch_min=7 batch_max=47 forwards/s=122.8
[infer] reqs=8035 rows=15499 batches=627 avg_batch=24.7 batch_p50=24 batch_p95=39 batch_min=7 batch_max=54 forwards/s=125.4
[infer] reqs=8001 rows=15801 batches=622 avg_batch=25.4 batch_p50=25 batch_p95=39 batch_min=7 batch_max=54 forwards/s=124.4
[infer] reqs=8425 rows=16285 batches=648 avg_batch=25.1 batch_p50=24 batch_p95=38 batch_min=7 batch_max=52 forwards/s=129.6
[infer] reqs=8347 rows=16387 batches=647 avg_batch=25.3 batch_p50=25 batch_p95=38 batch_min=8 batch_max=48 forwards/s=129.4
[infer] reqs=8193 rows=15965 batches=644 avg_batch=24.8 batch_p50=25 batch_p95=38 batch_min=7 batch_max=52 forwards/s=128.8
[infer] reqs=8569 rows=16553 batches=655 avg_batch=25.3 batch_p50=25 batch_p95=39 batch_min=5 batch_max=55 forwards/s=131.0
[infer] reqs=8397 rows=16317 batches=648 avg_batch=25.2 batch_p50=24 batch_p95=38 batch_min=7 batch_max=53 forwards/s=129.6
[infer] reqs=8175 rows=15903 batches=638 avg_batch=24.9 batch_p50=25 batch_p95=37 batch_min=7 batch_max=45 forwards/s=127.6
[infer] reqs=8231 rows=16075 batches=643 avg_batch=25.0 batch_p50=25 batch_p95=37 batch_min=8 batch_max=51 forwards/s=128.6
[infer] reqs=8036 rows=15544 batches=634 avg_batch=24.5 batch_p50=24 batch_p95=40 batch_min=5 batch_max=50 forwards/s=126.8
[infer] reqs=8109 rows=15913 batches=638 avg_batch=24.9 batch_p50=25 batch_p95=39 batch_min=7 batch_max=48 forwards/s=127.6
[infer] reqs=8049 rows=15657 batches=625 avg_batch=25.1 batch_p50=24 batch_p95=37 batch_min=8 batch_max=53 forwards/s=125.0
[infer] reqs=7888 rows=15500 batches=627 avg_batch=24.7 batch_p50=24 batch_p95=39 batch_min=5 batch_max=55 forwards/s=125.4
[infer] reqs=8101 rows=15769 batches=637 avg_batch=24.8 batch_p50=24 batch_p95=39 batch_min=6 batch_max=47 forwards/s=127.4
[infer] reqs=8254 rows=16114 batches=642 avg_batch=25.1 batch_p50=25 batch_p95=37 batch_min=8 batch_max=49 forwards/s=128.4
[infer] reqs=8331 rows=15943 batches=642 avg_batch=24.8 batch_p50=25 batch_p95=37 batch_min=9 batch_max=48 forwards/s=128.4
